code,description,abc_class,description1,description2,description3,apn,group_code,brand,condition_code,default_conversion_factor,issue_ctrl,stk_licences_rebate_flag,pack_weight,title,stock_status,sales_type,user_only_alpha20_1,user_only_alpha20_2,user_only_alpha4_1,user_only_alpha4_2,user_only_alpha4_3,user_only_alpha4_4,user_only_date1,user_only_date2,user_only_num1,user_only_num2,user_only_num3,user_only_num4,pronto_user_group,pronto_user_group_1,saleability,visibility,uom,pack_size,updated_at,created_at,prices,notes,alternative_products,companion_products,inventory_quantities,uoms,categories,desc
1074,KERSHAW CAMP 18,,KERSHAW CAMP 18,,,ZZDELETED,KER,KNIV,,1,,,0.0,,X,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,12:17 01-Feb-2017,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '89.815', 'ex_tax': '81.65', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '89.815', 'ex_tax': '81.65'}}",,,,"{'warehouse': '1', 'quantity': '0.0'}{'warehouse': '9', 'quantity': '0.0'}{'warehouse': '1SRO', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",KNIV|knives|100_0|KER|KER,"<div id=""tabs-1""><ul>
<li>Full-tang</li>
<li>Includes sheath</li>
<li>Steel: 65Mn, powdercoat</li>
<li>Handle: Full tang, rubber overmold</li>
<li>Blade length: 18 in. (45.7 cm)</li>
<li>Overall length: 24 in. (70 cm)</li>
<li>Weight: 2 lb. 14 oz. (1304 g)</li>
</ul></div>"
SWA-DOB16GTK,GoTo Upgrade Kit for 16\ Dobsonian (SynScan HC),,GoTo Upgrade Kit for 16\,Dobsonian (SynScan HC),,9334046003154,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,10:41 26-Mar-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '2815.802', 'ex_tax': '2559.82', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '2815.802', 'ex_tax': '2559.82'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '1.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'IO', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",dobacc|synscan|dob-acc|Accessories|5000_0|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-DOB8GTK,GoTo Upgrade Kit for 8\Dobsonian (SynScan HC),,GoTo Upgrade Kit for 8\,Dobsonian (SynScan HC),,9334046007336,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '1431.562', 'ex_tax': '1301.42', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '1431.562', 'ex_tax': '1301.42'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '3.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'RAWO', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",dobacc|synscan|dob-acc|Accessories|5000_0|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-SYNGUIDE,SynGuider V2 Autoguider,,SynGuider V2,Autoguider,,6930096620056,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:47 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '470.47', 'ex_tax': '427.7', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '470.47', 'ex_tax': '427.7'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '1.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '4', 'quantity': '0.0'}{'warehouse': '1BB', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",500_0|guiding|SKY|SKY|SKYWATCHER,"<div id=""tabs-1"">Sky-Watcher SWA-SYNGUIDE
<br>
<div class=""woocommerce-product-details__short-description"">
<ul>
<li>Stand-alone guiding – no computer required</li>
<li>Sony ICX404AL CCD Sensor (chip size 5.59mm x 4.68mm)</li>
<li>Number of effective pixels 510 x 492</li>
<li>Real-time star image display</li>
<li>Standard ST-4 autoguider interface</li>
<li>M42 and 1.25″ telescope interface</li>
<li>User upgradeable firmware</li>
<li>Exposure times: 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096 mS</li>
</ul>
</div></div>"
SWA-EQ2BAR,Counterweight Bar for EQ2,,Counterweight Bar for EQ2,,,9334046003994,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,11:23 20-Jun-2018,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '12.243', 'ex_tax': '11.13', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '12.243', 'ex_tax': '11.13'}}","{'type': '**', 'note': 'weight skywatcher'}",,,"{'warehouse': '1', 'quantity': '44.0'}{'warehouse': '4', 'quantity': '1.0'}{'warehouse': '1BB', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.37', 'width': '0.25', 'depth': '0.19'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '6.1', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|cntr-weight|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-LE2,UWA 2.5mm 1.25\Eyepiece 58 b0 AFOV,,UWA 2.5mm 1.25\ Eyepiece 58 0,AFOV,,9334046006445,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,09:29 03-Nov-2023,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '90.475', 'ex_tax': '82.25', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '90.475', 'ex_tax': '82.25'}}","{'type': '**', 'note': 'ultra wide angle degree inch skywatcher'}",,,"{'warehouse': '1', 'quantity': '57.0'}{'warehouse': '1A', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '10.8', 'height': '0.43', 'width': '0.43', 'depth': '0.19'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-POLAR-HEQ5,Polar Scope for EQ3 HEQ5,,Polar Scope for EQ3 HEQ5,,,9334046001150,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '54.835', 'ex_tax': '49.85', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '54.835', 'ex_tax': '49.85'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '40.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|photoacc|Polar-and-Finderscopes|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-LE15,UWA 15mm 1.25\ Eyepiece 58b0 AFOV,,UWA 15mm 1.25\ Eyepiece 58b0,AFOV,,9334046001181,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:47 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '90.475', 'ex_tax': '82.25', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '90.475', 'ex_tax': '82.25'}}","{'type': '**', 'note': 'ultra wide angle degree inch skywatcher'}",,,"{'warehouse': '1', 'quantity': '44.0'}{'warehouse': 'IO', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.43', 'width': '0.43', 'depth': '0.19'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '12.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|ler|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-9X50FINDER,9x50 Finderscope with Bracket,,9x50 Finderscope with Bracket,,,9334046001211,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,14:42 03-May-2017,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '99.088', 'ex_tax': '90.08', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '99.088', 'ex_tax': '90.08'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '40.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '1BB', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '6.5', 'height': '0.46', 'width': '0.46', 'depth': '0.25'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|Polar-and-Finderscopes|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-CASEED120,Aluminium Case for Evostar 120ED,,Aluminium Case for Evostar,120ED,,9334046006841,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '218.9', 'ex_tax': '199.0', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '218.9', 'ex_tax': '199.0'}}","{'type': '**', 'note': 'ed120 skywatcher'}",,,"{'warehouse': '1', 'quantity': '2.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'DO', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",200_0|cases|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""><p>Total weight approx 7kg.</p>
<p>Internal Dimensions:<br> 1020mm long,<br> 280mm wide,<br> 210mm high.</p>
<p>External Dimensions:<br> 1045mm long,<br> 305mm wide,<br> 240mm high.</p></div>"
SWA-SUNR150,Solar Filter 150mm for Refractor,,Solar Filter 150mm for,Refractor,,9334046006858,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,10:35 15-May-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '26.18', 'ex_tax': '23.8', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '26.18', 'ex_tax': '23.8'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '7.0'}{'warehouse': 'DO', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|SKY|SKY|solar|SKYWATCHER,"<div id=""tabs-1""><div class=""short-description std"">
<ul>
<li>Economical full aperture baader solar film filter</li>
<li>Observe the sun safely</li>
<li>Placed over the front of your telescope</li>
<li>Reduces the intensity of the Sun's light significantly</li>
<li>Reflects away harmful rays.</li>
<li>View subtle faculae and sun spots</li>
<li>5 years Skywatcher limited warranty</li>
</ul>
</div></div>"
SWA-POLAR-NEQ6,Polar Scope for EQ5 NEQ6,,Polar Scope for EQ5 NEQ6,,,9334046002119,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '54.835', 'ex_tax': '49.85', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '54.835', 'ex_tax': '49.85'}}","{'type': '**', 'note': 'skywatcher SWPOLAR-6'}",,,"{'warehouse': '1', 'quantity': '3.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",100_0|Polar-and-Finderscopes|skywatcher|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-SHROUD18,Cloth Shroud for 18\Collapsible Dobsonian,,Cloth Shroud for 18\,Collapsible Dobsonian,,9334046002188,SKY,SKYWATCHER,O,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,12:26 20-Mar-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '129.404', 'ex_tax': '117.64', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '129.404', 'ex_tax': '117.64'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '4.0'}{'warehouse': 'RAWO', 'quantity': '0.0'}{'warehouse': '4', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",200_0|dobacc|dob-acc|Accessories|SKY|SKY|end-of-line-clearance|SKYWATCHER,"<div id=""tabs-1""><div class=""short-description std"">
<ul>
<li>Fits 14 inch Dobsonian Telescope</li>
<li>Lightweight and Breathable Black Fiber</li>
</ul>
</div></div>"
SWA-BDFF150ED,0.85x Reducer / Flattener for Evostar 150ED,,0.85x Reducer / Flattener for,Evostar 150ED,,9334046009781,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,08:28 13-Oct-2017,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '379.654', 'ex_tax': '345.14', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '379.654', 'ex_tax': '345.14'}}","{'type': '**', 'note': 'reducer/flattener skywatcher'}",,,"{'warehouse': '1', 'quantity': '3.0'}{'warehouse': '4', 'quantity': '1.0'}{'warehouse': '1SER', 'quantity': '0.0'}","{'code': 'CTN', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '999999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",500_0|bded|photooptics|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
SWA-POLAR-EQ8,Polar Scope for EQ8,,Polar Scope for EQ8,,,9334046008371,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,15:45 23-Jan-2015,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '242.913', 'ex_tax': '220.83', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '242.913', 'ex_tax': '220.83'}}","{'type': '**', 'note': 'skywatcher'}",,,"{'warehouse': '1', 'quantity': '6.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': '1SER', 'quantity': '0.0'}{'warehouse': '1EC', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",300_0|eq8|Polar-and-Finderscopes|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""><div class=""grid-code"">
<ul>
<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">The Skywatcher EQ8 mount can be aligned using the Synscan handset but this traditional Polar Alignment Scope is also available. </span></li>
<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">A polar axis finder scope speeds up and refines the polar alignment procedure. <br></span></li>
</ul>
</div></div>"
SW804PRESTO,80/400 Presto AZ Refractor Telescope,,80/400 Presto AZ Refractor,Telescope,,,SKY,SKYWATCHER,,1,,,0.0,,S,,,,,,,,,,0.0,0.0,0.0,0.0,,,True,True,EA,1.0,03:20 03-Mar-2025,11:25 22-Sep-2023,"{'debtor': '210326', 'breaks': [{'price_rule': '06', 'currency_code': '', 'inc_tax': '277.893', 'ex_tax': '252.63', 'min_qty': 1, 'max_qty': None}], 'base_price': {'currency_code': '', 'inc_tax': '277.893', 'ex_tax': '252.63'}}","{'type': '**', 'note': '80AZ alt-azsw80'}",,,"{'warehouse': '1', 'quantity': '10.0'}{'warehouse': '1A', 'quantity': '0.0'}{'warehouse': 'DO', 'quantity': '0.0'}{'warehouse': '4', 'quantity': '0.0'}{'warehouse': 'EV', 'quantity': '0.0'}{'warehouse': 'AB', 'quantity': '0.0'}","{'code': 'EA', 'conv': '1.0', 'gtin': '', 'weight': '10.0', 'height': '25.0', 'width': '44.0', 'depth': '95.0'}{'code': 'PLT', 'conv': '99999.0', 'gtin': '', 'weight': '0.0', 'height': '0.0', 'width': '0.0', 'depth': '0.0'}",300_0|SKY|SKY|SKYWATCHER,"<div id=""tabs-1""></div>"
